word,score
esposa,0
manos,0
debes,0
viene,0
venga,0
nuestros,0
ojos,0
adelante,0
encontrar,0
mano,0
cinco,0
niño,0
ninguna,0
otros,0
cara,0
cuidado,0
bajo,0
cerca,0
viejo,0
déjame,0
noches,0
bastante,0
tomar,0
único,0
misma,0
escucha,0
ningún,0
suficiente,0
punto,0
cuándo,0
sigue,0
haya,0
equipo,0
grande,0
necesita,0
llegar,0
incluso,0
algunos,0
doctor,0
difícil,0
aunque,0
hubiera,0
primer,0
coche,0
hago,0
clase,0
cuatro,0
dices,0
pequeño,0
llama,0
toma,0
hiciste,0
allá,0
última,0
arriba,0
tierra,0
guerra,0
pensar,0
pueda,0
igual,0
loco,0
sangre,0
mujeres,0
vuelta,0
trabajar,0
tenido,0
juego,0
deberías,0
cuerpo,0
algunas,0
entrar,0
cree,0
podía,0
debemos,0
oportunidad,0
teléfono,0
necesitamos,0
final,0
listo,0
fiesta,0
muchos,0
estabas,0
quieren,0
vete,0
auto,0
vivir,0
posible,0
hermana,0
número,0
meses,0
exactamente,0
culpa,0
abajo,0
escuela,0
fuerte,0
diciendo,0
habla,0
esté,0
ello,0
pregunta,0
chicas,0
eran,0
unas,0
pasando,0
atrás,0
malo,0
capitán,0
sra.,0
bebé,0
segundo,0
sabemos,0
mayor,0
comida,0
morir,0
conozco,0
dame,0
fácil,0
comer,0
vino,0
lista,0
haga,0
necesitas,0
hijos,0
probablemente,0
padres,0
habitación,0
creer,0
pensando,0
fueron,0
dime,0
trata,0
buscando,0
tuve,0
tampoco,0
joven,0
podrías,0
sola,0
única,0
hacen,0
seguir,0
simplemente,0
dicen,0
medio,0
puta,0
saben,0
sentido,0
hagas,0
segura,0
esperar,0
lejos,0
arma,0
alto,0
pequeña,0
dólares,0
seis,0
estaban,0
seguridad,0
maldita,0
estuvo,0
preocupes,0
palabra,0
esperando,0
queda,0
oficina,0
matar,0
cama,0
además,0
último,0
oído,0
habría,0
estará,0
recuerdo,0
siendo,0
acerca,0
tenga,0
correcto,0
demonios,0
nuestras,0
verte,0
dormir,0
sitio,0
ayudar,0
conseguir,0
marido,0
idiota,0
plan,0
dado,0
cuanto,0
peor,0
murió,0
pueblo,0
vivo,0
venido,0
john,0
basta,0
paso,0
deberíamos,0
música,0
diga,0
minuto,0
anoche,0
llamar,0
piensa,0
país,0
digas,0
perdón,0
mucha,0
falta,0
pienso,0
diablos,0
perdido,0
niña,0
señorita,0
diez,0
lleva,0
hospital,0
grandes,0
maldito,0
otras,0
llamado,0
hacemos,0
llevar,0
fuego,0
aqui,0
tuvo,0
poner,0
calle,0
acaba,0
prueba,0
increíble,0
real,0
libro,0
orden,0
semanas,0
especial,0
café,0
duro,0
empezar,0
afuera,0
queremos,0
perro,0
cielo,0
jack,0
puesto,0
viaje,0
detrás,0
cuarto,0
querida,0
haría,0
preguntas,0
piensas,0
querido,0
libre,0
buscar,0
cual,0
diré,0
suena,0
jugar,0
cambio,0
película,0
millones,0
habrá,0
llamada,0
resto,0
vemos,0
extraño,0
mala,0
presidente,0
srta.,0
irme,0
ropa,0
perder,0
vuelve,0
agente,0
palabras,0
información,0
raro,0
hará,0
entiendes,0
éste,0
trabajando,0
tratando,0
general,0
trato,0
usar,0
perfecto,0
derecho,0
modo,0
ayer,0
conoces,0
demás,0
quieras,0
podríamos,0
noticias,0
asesino,0
encontrado,0
control,0
odio,0
frente,0
sexo,0
decirle,0
estaré,0
divertido,0
armas,0
recuerdas,0
amiga,0
grupo,0
asunto,0
acabo,0
mensaje,0
encima,0
atención,0
diferente,0
cállate,0
daño,0
sucede,0
cambiar,0
siguiente,0
sino,0
seas,0
médico,0
boca,0
dejó,0
error,0
jamás,0
largo,0
pena,0
futuro,0
siente,0
secreto,0
baño,0
decirte,0
pensaba,0
novia,0
propia,0
sueño,0
fuerza,0
deben,0
supone,0
estábamos,0
ambos,0
estuve,0
encontré,0
vuelto,0
dolor,0
dile,0
encanta,0
edad,0
darle,0
negro,0
ganar,0
york,0
aire,0
lamento,0
verlo,0
asesinato,0
adónde,0
llegado,0
disculpe,0
cita,0
estaría,0
fuiste,0
sistema,0
gusto,0
pobre,0
negocio,0
mente,0
tuyo,0
campo,0
mire,0
situación,0
tras,0
hotel,0
vosotros,0
funciona,0
foto,0
abogado,0
loca,0
propio,0
alrededor,0
próxima,0
terminado,0
hablas,0
pagar,0
mató,0
llamo,0
personal,0
sientes,0
ocurre,0
ésta,0
recuerda,0
mitad,0
quiera,0
pelo,0
tenías,0
viste,0
oficial,0
llegó,0
compañía,0
relación,0
conoce,0
pase,0
montón,0
mejores,0
creí,0
cena,0
sentir,0
través,0
accidente,0
ellas,0
caja,0
tranquilo,0
bonito,0
eras,0
pudo,0
vive,0
vista,0
estúpido,0
línea,0
caballeros,0
haremos,0
quédate,0
tienda,0
comprar,0
entendido,0
centro,0
salvo,0
tonto,0
hambre,0
michael,0
mesa,0
respuesta,0
completamente,0
david,0
carta,0
totalmente,0
imposible,0
pruebas,0
novio,0
normal,0
gustan,0
frank,0
pude,0
charlie,0
traje,0
dirección,0
siete,0
dijeron,0
placer,0
sean,0
tendrá,0
barco,0
blanco,0
profesor,0
servicio,0
muchacho,0
reunión,0
dejado,0
quisiera,0
hubo,0
george,0
programa,0
carrera,0
cumpleaños,0
muchachos,0
culo,0
canción,0
hermosa,0
universidad,0
boda,0
decirme,0
cualquiera,0
tengas,0
hacía,0
estés,0
sala,0
llevo,0
decisión,0
espere,0
necesario,0
entra,0
prisa,0
carajo,0
embargo,0
interesante,0
tendrás,0
escuchar,0
abuela,0
hicieron,0
detective,0
horrible,0
suelo,0
fotos,0
cárcel,0
mike,0
siéntate,0
decía,0
intentando,0
vámonos,0
maldición,0
silencio,0
muerta,0
capaz,0
salió,0
club,0
terminar,0
temo,0
broma,0
gobierno,0
prometo,0
cámara,0
media,0
terrible,0
llamó,0
regalo,0
amable,0
dulce,0
muertos,0
querías,0
ataque,0
navidad,0
negocios,0
pudiera,0
ocho,0
avión,0
investigación,0
acabó,0
juro,0
mantener,0
ejército,0
papel,0
partes,0
gracioso,0
diría,0
principio,0
delante,0
teniente,0
deseo,0
vayas,0
nave,0
sale,0
basura,0
vine,0
contacto,0
esposo,0
tren,0
encontramos,0
dale,0
verdadero,0
tuya,0
alma,0
hazlo,0
disculpa,0
junto,0
anda,0
tendré,0
matrimonio,0
saberlo,0
locura,0
permiso,0
director,0
peligro,0
libertad,0
alegro,0
baja,0
tendremos,0
derecha,0
encuentra,0
pies,0
segunda,0
maravilloso,0
espacio,0
rato,0
abuelo,0
esperaba,0
mirando,0
salud,0
sorpresa,0
ninguno,0
miren,0
triste,0
pensado,0
maestro,0
según,0
infierno,0
podrían,0
tipos,0
crimen,0
conocido,0
consejo,0
ante,0
iglesia,0
intento,0
mayoría,0
peter,0
hicimos,0
escena,0
piso,0
señal,0
honor,0
llamas,0
abre,0
cerebro,0
veras,0
viendo,0
pone,0
pregunto,0
cocina,0
vestido,0
inteligente,0
vieja,0
caballo,0
vienen,0
vidas,0
corte,0
sucedió,0
adentro,0
drogas,0
enseguida,0
busca,0
agradable,0
carne,0
parecía,0
departamento,0
lindo,0
duda,0
edificio,0
conocer,0
cargo,0
víctima,0
luna,0
energía,0
frío,0
hablo,0
baile,0
trabaja,0
misión,0
listos,0
ayudarte,0
izquierda,0
paul,0
beber,0
deje,0
finalmente,0
simple,0
daré,0
sabías,0
puedas,0
puso,0
creía,0
regresar,0
llega,0
entender,0
mirar,0
sacar,0
cambiado,0
trae,0
hermoso,0
opinión,0
verás,0
linda,0
apenas,0
segundos,0
cerveza,0
harás,0
estuviera,0
creen,0
tendría,0
cuántos,0
hablado,0
hablamos,0
reina,0
temprano,0
tema,0
prisión,0
porqué,0
vuelva,0
público,0
ocurrió,0
veré,0
salvar,0
partido,0
bonita,0
joder,0
causa,0
caliente,0
sargento,0
cenar,0
compañero,0
llevó,0
banco,0
existe,0
zona,0
destino,0
base,0
solía,0
cliente,0
irse,0
perra,0
james,0
encuentro,0
encontró,0
pelea,0
norte,0
quise,0
coronel,0
apuesto,0
peligroso,0
viva,0
vienes,0
necesitan,0
excepto,0
juicio,0
podamos,0
llave,0
equivocado,0
posición,0
trasero,0
irnos,0
espalda,0
excelente,0
éxito,0
modos,0
ventana,0
veamos,0
especie,0
teníamos,0
diferencia,0
formas,0
pedir,0
últimos,0
escúchame,0
ejemplo,0
radio,0
calma,0
hogar,0
volveré,0
fondo,0
humano,0
henry,0
iremos,0
unidos,0
habían,0
jesús,0
planeta,0
verme,0
respecto,0
regreso,0
debido,0
seré,0
tenían,0
leer,0
parar,0
lleno,0
dejé,0
respeto,0
debajo,0
harry,0
escribir,0
estación,0
pidió,0
alta,0
pista,0
estrella,0
enfermo,0
duele,0
sueños,0
veremos,0
miles,0
darme,0
órdenes,0
ocupado,0
sigues,0
corre,0
podido,0
dejes,0
nivel,0
habéis,0
experiencia,0
darte,0
salida,0
decirlo,0
confiar,0
hacerte,0
necesitaba,0
hermanos,0
zapatos,0
color,0
vistazo,0
nena,0
tratar,0
parecer,0
juez,0
próximo,0
paciente,0
hayas,0
bolsa,0
arte,0
mary,0
jugando,0
llevas,0
alegra,0
bailar,0
diablo,0
sepa,0
estarás,0
banda,0
aprender,0
precio,0
completo,0
santo,0
culpable,0
ganas,0
tuvimos,0
verla,0
volvió,0
libros,0
serán,0
cielos,0
matado,0
azul,0
diferentes,0
irte,0
comandante,0
acción,0
reglas,0
obra,0
esperanza,0
cuestión,0
molesta,0
teniendo,0
bill,0
informe,0
jimmy,0
bienvenido,0
abrir,0
tocar,0
contar,0
sigo,0
interior,0
apartamento,0
estados,0
estáis,0
preocupa,0
tomó,0
principal,0
empieza,0
londres,0
empezó,0
vayan,0
llaman,0
ojalá,0
perdona,0
vuelvo,0
golpe,0
quedarme,0
llamaré,0
acabado,0
estilo,0
nueve,0
definitivamente,0
quedar,0
cartas,0
bomba,0
guardia,0
pistola,0
probar,0
majestad,0
traer,0
marcha,0
pareces,0
común,0
aquel,0
hacerle,0
vuelo,0
nota,0
danny,0
humanos,0
estaremos,0
valor,0
suyo,0
objetivo,0
repente,0
debía,0
rojo,0
bromeando,0
entrada,0
doble,0
dejaré,0
evitar,0
máquina,0
cuello,0
conocí,0
tiempos,0
tome,0
nick,0
animales,0
alex,0
acaso,0
tuviera,0
pareja,0
verano,0
escuché,0
serás,0
mentira,0
tarjeta,0
hagan,0
perdí,0
correr,0
steve,0
traído,0
llegue,0
preparado,0
haberlo,0
tony,0
intentar,0
ayudarme,0
flores,0
dando,0
opción,0
isla,0
cierra,0
piel,0
enemigo,0
dejo,0
exacto,0
imbécil,0
jóvenes,0
pedido,0
larga,0
entiende,0
justicia,0
nuevos,0
obviamente,0
despierta,0
pido,0
calor,0
luces,0
refiero,0
fuimos,0
batalla,0
déjalo,0
intenta,0
sarah,0
fantástico,0
brazo,0
absolutamente,0
llena,0
hacerme,0
salga,0
recordar,0
escapar,0
bosque,0
señores,0
quedan,0
piernas,0
visita,0
parís,0
usando,0
ganado,0
movimiento,0
blanca,0
rico,0
inocente,0
pesar,0
absoluto,0
vacaciones,0
mismos,0
tomado,0
habías,0
planes,0
cine,0
toca,0
brillante,0
confianza,0
vuestra,0
nombres,0
especialmente,0
embarazada,0
esperen,0
pantalones,0
defensa,0
terminó,0
salido,0
estupendo,0
jane,0
presión,0
inmediatamente,0
testigo,0
deberían,0
olvidado,0
soldados,0
resulta,0
tommy,0
depende,0
motivo,0
inglés,0
suya,0
estudio,0
acabar,0
sentimientos,0
tomando,0
dieron,0
parecen,0
llaves,0
perros,0
propósito,0
noticia,0
partir,0
vuestro,0
metros,0
santa,0
quedarse,0
clientes,0
podrá,0
cuántas,0
ridículo,0
damas,0
estuviste,0
tranquila,0
operación,0
come,0
empresa,0
ayúdame,0
laboratorio,0
elección,0
menudo,0
beso,0
copa,0
conversación,0
brazos,0
espíritu,0
dejas,0
cansado,0
interesa,0
refieres,0
casado,0
enorme,0
asuntos,0
muestra,0
trampa,0
billy,0
memoria,0
johnny,0
contrario,0
soldado,0
subir,0
turno,0
encantaría,0
preocupado,0
restaurante,0
saliendo,0
escrito,0
cálmate,0
bienvenida,0
caer,0
llevaré,0
leche,0
estrellas,0
prefiero,0
viejos,0
solamente,0
oiga,0
estén,0
cuentas,0
taxi,0
anillo,0
richard,0
preguntar,0
victoria,0
quiénes,0
héroe,0
pequeños,0
decidido,0
películas,0
responsable,0
trago,0
volverá,0
árbol,0
ibas,0
dientes,0
encantado,0
camión,0
vender,0
llame,0
detente,0
luchar,0
cabo,0
ruido,0
lucha,0
muere,0
reloj,0
gato,0
averiguar,0
volar,0
vayamos,0
tanta,0
vendrá,0
corriendo,0
yendo,0
colegio,0
sonido,0
caballero,0
pasada,0
código,0
hagamos,0
imagen,0
riesgo,0
llegamos,0
alguno,0
millón,0
malas,0
dama,0
hielo,0
coño,0
cayó,0
prensa,0
querer,0
vengan,0
eddie,0
caminar,0
televisión,0
pasará,0
momentos,0
coger,0
posibilidad,0
hubiese,0
mark,0
asiento,0
tuviste,0
herido,0
maría,0
seguramente,0
proyecto,0
pared,0
sentí,0
sospechoso,0
naturaleza,0
silla,0
perdió,0
robert,0
policías,0
arreglar,0
sentado,0
papi,0
ideas,0
obtener,0
felices,0
señoría,0
cantidad,0
bebe,0
mírame,0
chris,0
papa,0
llorar,0
quedó,0
familiar,0
desastre,0
locos,0
escuche,0
quedarte,0
política,0
pedí,0
sois,0
nosotras,0
will,0
enfermedad,0
encontraron,0
colega,0
príncipe,0
verde,0
bajar,0
nervioso,0
vengo,0
inspector,0
sirve,0
puertas,0
fuerzas,0
playa,0
cantar,0
déjeme,0
velocidad,0
total,0
cabello,0
suficientemente,0
huellas,0
haberte,0
debí,0
unidad,0
estan,0
cuchillo,0
oigan,0
quienes,0
gana,0
tonterías,0
emergencia,0
perfecta,0
hable,0
gustaba,0
lugares,0
ryan,0
show,0
robo,0
permite,0
parque,0
uds.,0
roto,0
serie,0
puse,0
nuevas,0
evidencia,0
conocerte,0
estúpida,0
preocupe,0
perdone,0
botella,0
viento,0
mando,0
extraña,0
historias,0
aquella,0
tenéis,0
solos,0
apoyo,0
bala,0
verdadera,0
tiro,0
época,0
puente,0
olvídalo,0
distancia,0
desea,0
dejarlo,0
pelear,0
pierna,0
echar,0
descanso,0
américa,0
área,0
orgulloso,0
datos,0
espectáculo,0
sube,0
dejaste,0
acabas,0
verá,0
magia,0
nacional,0
universo,0
llevaba,0
necesitar,0
nariz,0
aquellos,0
clases,0
jake,0
casas,0
vergüenza,0
estarán,0
monstruo,0
princesa,0
autobús,0
cuidar,0
huevos,0
pocos,0
podrás,0
enferma,0
paseo,0
detalles,0
llamadas,0
belleza,0
francia,0
abierto,0
viviendo,0
envió,0
puntos,0
ministro,0
conducir,0
aceptar,0
borracho,0
animal,0
caballos,0
trajo,0
contrato,0
viernes,0
bobby,0
martin,0
bienvenidos,0
hechos,0
sociedad,0
dra.,0
tengan,0
quede,0
inglaterra,0
carga,0
diste,0
puto,0
lleve,0
presente,0
conocía,0
dedos,0
oferta,0
sentía,0
proteger,0
daniel,0
date,0
hiciera,0
hablé,0
recibir,0
agradezco,0
robar,0
enamorado,0
sepas,0
oeste,0
herida,0
despacio,0
ayude,0
supe,0
directamente,0
inmediato,0
profesional,0
oscuro,0
mercado,0
cerdo,0
tardes,0
líder,0
grave,0
llegué,0
jurado,0
casos,0
acuerdas,0
desaparecido,0
debió,0
hubieras,0
últimamente,0
piedra,0
éramos,0
habló,0
charles,0
paga,0
secretos,0
digamos,0
intención,0
humor,0
dura,0
dará,0
seguros,0
adam,0
ángeles,0
querría,0
cerrar,0
conseguido,0
peso,0
víctimas,0
asesinado,0
humana,0
directo,0
central,0
termina,0
compañeros,0
escuchado,0
contento,0
llevan,0
podré,0
oscuridad,0
actuar,0
siga,0
llevado,0
comenzó,0
regresa,0
privado,0
mirada,0
demonio,0
abierta,0
kevin,0
llámame,0
siguen,0
romper,0
cambia,0
fiscal,0
jardín,0
natural,0
gratis,0
cuesta,0
amenaza,0
marca,0
comenzar,0
ponte,0
medicina,0
podremos,0
tomé,0
preciosa,0
sexual,0
acceso,0
necesidad,0
dueño,0
merece,0
rayos,0
mintiendo,0
tantas,0
imagino,0
fantasma,0
creerlo,0
llamé,0
ponga,0
brian,0
pollo,0
varios,0
efecto,0
felicidad,0
espada,0
relaciones,0
entró,0
resultado,0
sombrero,0
menor,0
recibido,0
negra,0
habido,0
limpio,0
china,0
juegos,0
correo,0
confía,0
video,0
perfectamente,0
harán,0
teatro,0
dormido,0
local,0
quedado,0
lástima,0
calles,0
créeme,0
responsabilidad,0
búsqueda,0
dedo,0
tonta,0
recuerdos,0
razones,0
escuchando,0
eric,0
elegir,0
amas,0
huele,0
almuerzo,0
cien,0
tantos,0
pago,0
normalmente,0
pastel,0
bastardo,0
cinta,0
pasé,0
dígame,0
anna,0
costa,0
levántate,0
llamando,0
cerrado,0
interés,0
enfermera,0
comienzo,0
olvidé,0
fuese,0
militar,0
polvo,0
bella,0
quedo,0
kate,0
encontraste,0
voluntad,0
varias,0
teoría,0
roja,0
cuento,0
escenario,0
diario,0
propiedad,0
agujero,0
aspecto,0
campamento,0
descansar,0
matarme,0
metido,0
quiso,0
ángel,0
enviar,0
impresionante,0
proceso,0
intentado,0
fuente,0
alcalde,0
ocurrido,0
malos,0
carretera,0
desapareció,0
desayuno,0
débil,0
roma,0
sabido,0
comienza,0
tambien,0
intentarlo,0
miembro,0
perdiendo,0
hayan,0
fueras,0
resultados,0
jerry,0
mata,0
valiente,0
deber,0
pecho,0
gustó,0
oyes,0
thomas,0
periódico,0
mami,0
piensan,0
washington,0
cansada,0
limpiar,0
crear,0
explicar,0
robado,0
resolver,0
maté,0
guapo,0
continuar,0
sheriff,0
funcionar,0
extra,0
primo,0
manejar,0
primeros,0
acto,0
poniendo,0
números,0
kilómetros,0
andy,0
llevará,0
rachel,0
niñas,0
premio,0
internet,0
harías,0
inútil,0
domingo,0
tomas,0
sensación,0
alcohol,0
tercera,0
agentes,0
disculpas,0
antiguo,0
guapa,0
asustado,0
puedan,0
sexy,0
genio,0
recuperar,0
creemos,0
lengua,0
ladrón,0
intenté,0
examen,0
deprisa,0
montaña,0
durmiendo,0
disparar,0
entrenador,0
queso,0
entero,0
papeles,0
pones,0
modelo,0
fútbol,0
detener,0
lados,0
miembros,0
sábado,0
pongo,0
mataron,0
vuelvas,0
talento,0
descubrir,0
gordo,0
tribunal,0
toque,0
hables,0
conocemos,0
haberme,0
dispuesto,0
tamaño,0
dejen,0
maravillosa,0
invitado,0
importantes,0
derechos,0
scott,0
declaración,0
claramente,0
pacientes,0
pérdida,0
iban,0
pudiste,0
profundo,0
aeropuerto,0
consigue,0
olvidar,0
gloria,0
olvides,0
volviendo,0
coge,0
llamaba,0
pete,0
tendrán,0
instituto,0
disparo,0
encuentras,0
querían,0
hablemos,0
enviado,0
pertenece,0
sienta,0
pensó,0
cadáver,0
gracia,0
doctora,0
escuchen,0
amante,0
temporada,0
cuerpos,0
amigas,0
larry,0
preguntaba,0
francés,0
mataste,0
techo,0
íbamos,0
protección,0
médicos,0
lisa,0
venganza,0
pensamos,0
walter,0
contó,0
discutir,0
comprendo,0
idiotas,0
enemigos,0
camisa,0
superior,0
criminal,0
preocupada,0
bote,0
escribió,0
llevamos,0
testigos,0
recoger,0
emily,0
truco,0
jason,0
original,0
pide,0
jeff,0
rosa,0
mama,0
negros,0
sobrevivir,0
rostro,0
crédito,0
compartir,0
saca,0
irás,0
pequeñas,0
veía,0
empezando,0
registro,0
continúa,0
grandioso,0
viniste,0
esquina,0
contado,0
tengamos,0
cientos,0
tormenta,0
relájate,0
siéntese,0
chocolate,0
matt,0
pedazo,0
tomo,0
olor,0
ciencia,0
kelly,0
conexión,0
vieron,0
salón,0
sucio,0
firma,0
vimos,0
pidiendo,0
casarse,0
bebida,0
tercer,0
propios,0
fuertes,0
lluvia,0
recién,0
tomaré,0
complicado,0
europa,0
toques,0
cámaras,0
visión,0
llego,0
americano,0
diversión,0
pareció,0
libras,0
curso,0
disco,0
probable,0
precioso,0
tenia,0
lago,0
leído,0
consiguió,0
parecido,0
material,0
discurso,0
entera,0
corta,0
completa,0
decirles,0
lunes,0
efectivo,0
cura,0
antigua,0
hablan,0
juntas,0
william,0
cáncer,0
funeral,0
jodido,0
dave,0
artista,0
favorito,0
guste,0
termine,0
entrevista,0
pintura,0
quieto,0
falso,0
india,0
corto,0
inteligencia,0
destruir,0
cargos,0
podías,0
mentiras,0
señoras,0
helado,0
felicidades,0
camioneta,0
mueve,0
aparte,0
rock,0
tumba,0
seguimos,0
hablaba,0
verle,0
mapa,0
tarea,0
cambió,0
móvil,0
equivocada,0
responder,0
vacío,0
felicitaciones,0
computadora,0
estudiante,0
muriendo,0
construir,0
conocen,0
clara,0
solución,0
mundial,0
plato,0
famoso,0
dirá,0
ambas,0
tecnología,0
notas,0
malditos,0
cabrón,0
condiciones,0
dudo,0
robó,0
escucho,0
laura,0
rápidamente,0
bordo,0
nieve,0
mensajes,0
fecha,0
violencia,0
sujeto,0
acciones,0
fría,0
droga,0
saldrá,0
suponía,0
empezamos,0
errores,0
grace,0
siglo,0
molesto,0
acabamos,0
sabéis,0
cortar,0
seria,0
muevas,0
fortuna,0
imaginar,0
archivos,0
presencia,0
familias,0
quedas,0
solas,0
oficiales,0
aventura,0
gira,0
social,0
comunidad,0
annie,0
alan,0
cero,0
clark,0
esperamos,0
ocupada,0
muévete,0
convertido,0
carl,0
pieza,0
estómago,0
disparó,0
legal,0
conseguí,0
emma,0
carter,0
california,0
rara,0
estudiantes,0
reino,0
alegría,0
barrio,0
granja,0
podéis,0
esfuerzo,0
trabajaba,0
claire,0
perdóname,0
tesoro,0
empleo,0
compré,0
cirugía,0
dejamos,0
busco,0
trabajas,0
clave,0
aparentemente,0
bravo,0
desearía,0
cerrada,0
chicago,0
controlar,0
pregunté,0
mostrar,0
piloto,0
pocas,0
tuvieron,0
ayudarle,0
bolso,0
llorando,0
kyle,0
duerme,0
dejarme,0
intentó,0
respirar,0
aparece,0
campaña,0
amistad,0
corriente,0
viven,0
huesos,0
invitados,0
planta,0
ritmo,0
respuestas,0
socio,0
esperas,0
caído,0
motor,0
mono,0
llevaron,0
página,0
poquito,0
habíamos,0
encontraremos,0
ruego,0
dejan,0
aburrido,0
paquete,0
casada,0
llevarte,0
combate,0
útil,0
castillo,0
bola,0
canciones,0
mataré,0
muchísimo,0
asistente,0
llegaron,0
correcta,0
pondré,0
simon,0
comido,0
salgan,0
empecé,0
tirar,0
pasan,0
cierta,0
honesto,0
carro,0
limpia,0
volví,0
confío,0
venta,0
huir,0
apareció,0
vais,0
compromiso,0
gustas,0
aseguro,0
promesa,0
decírselo,0
cuáles,0
compras,0
importancia,0
lección,0
hablaré,0
hacerse,0
personalmente,0
roger,0
luke,0
bolsillo,0
enojado,0
desgracia,0
artículo,0
labios,0
cola,0
estemos,0
whisky,0
taza,0
despues,0
gary,0
preguntarte,0
pelota,0
caminando,0
andar,0
crea,0
chaqueta,0
importaría,0
llegará,0
interesado,0
atrapado,0
supiera,0
matarlo,0
árboles,0
obvio,0
amaba,0
hablaremos,0
entrenamiento,0
pescado,0
últimas,0
pobres,0
dioses,0
nerviosa,0
vueltas,0
encontrarlo,0
autos,0
alice,0
preguntarle,0
lucy,0
abrigo,0
okay,0
estudiar,0
sonrisa,0
cobarde,0
olvida,0
secundaria,0
descubierto,0
convirtió,0
coches,0
venía,0
josh,0
charla,0
vives,0
bruja,0
celular,0
rose,0
rompió,0
andando,0
vean,0
conseguiste,0
susan,0
veinte,0
encargo,0
matarte,0
palacio,0
convierte,0
vivos,0
pasamos,0
firme,0
daría,0
piense,0
oigo,0
phil,0
sorprende,0
alemanes,0
milagro,0
soportar,0
dejaron,0
smith,0
disculpen,0
moda,0
despacho,0
vecinos,0
vaso,0
dejarte,0
explosión,0
poderes,0
regla,0
acaban,0
copia,0
siguiendo,0
viajar,0
cadena,0
fábrica,0
mantiene,0
meter,0
contenta,0
comiendo,0
educación,0
maneras,0
fumar,0
encantador,0
cuantos,0
homicidio,0
madera,0
mayores,0
grado,0
tratamiento,0
blancos,0
lord,0
anterior,0
comisario,0
pizza,0
millas,0
tira,0
fueran,0
cumplir,0
plata,0
quedará,0
quedaré,0
aléjate,0
decidir,0
preguntó,0
agencia,0
humanidad,0
usado,0
guardias,0
parada,0
leyes,0
funcionó,0
odia,0
levanta,0
mires,0
respira,0
escaleras,0
decisiones,0
queréis,0
salvaje,0
preguntando,0
pasos,0
ambulancia,0
traducción,0
trabajado,0
básicamente,0
tratado,0
parado,0
especiales,0
mentiroso,0
libres,0
servicios,0
pedirle,0
vivía,0
medios,0
